,OMB13CBSA,CONTROL_x,CONTROL_y,cases,pop,renter_occupied_units,Percent Violative
91,19740,834.0,83.0,12103,2967239,398634,0.09952038369304557
92,19820,612.0,94.0,32762,4319629,527324,0.15359477124183007
93,26420,864.0,165.0,11485,7095000,916168,0.1909722222222222
94,28140,767.0,89.0,3365,2183534,289182,0.11603650586701435
95,29820,1017.0,129.0,4750,2266715,359907,0.12684365781710916
96,31080,1377.0,216.0,35183,13214799,2231584,0.1568627450980392
97,32820,858.0,155.0,4182,1346045,198110,0.18065268065268064
98,33100,860.0,169.0,23732,6166488,851844,0.19651162790697674
99,33340,916.0,143.0,4574,1575179,251106,0.15611353711790393
100,33460,610.0,50.0,6203,3584879,404851,0.08196721311475409
101,35380,799.0,119.0,16941,1249434,180838,0.14893617021276595
102,35620,1112.0,195.0,427656,12508071,1844717,0.17535971223021582
103,36420,766.0,110.0,1677,1408950,185647,0.14360313315926893
104,37980,646.0,114.0,47457,6102434,740042,0.17647058823529413
105,38060,735.0,91.0,6427,4948203,622826,0.12380952380952381
106,38300,574.0,101.0,2870,2317600,302815,0.1759581881533101
107,38900,840.0,97.0,2166,2492412,352297,0.11547619047619048
108,39580,820.0,96.0,1346,1390785,166642,0.11707317073170732
109,40060,693.0,83.0,3091,1370148,171051,0.11976911976911978
110,40140,783.0,107.0,8003,4650631,502841,0.13665389527458494
111,40380,627.0,90.0,2236,1044731,139932,0.14354066985645933
112,41700,809.0,140.0,2174,2550960,299935,0.173053152039555
113,41860,958.0,96.0,6793,4731803,770046,0.10020876826722339
114,41940,955.0,62.0,2394,1990660,281343,0.06492146596858639
115,42660,913.0,70.0,11991,3979845,589194,0.07667031763417305
116,45300,580.0,70.0,2690,3194831,428455,0.1206896551724138
117,47900,893.0,72.0,38766,6207251,794696,0.08062709966405375
